"","X","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"440",524,20110262,20985,2011,"7/1/2011 10:40 PM",4906,"EXXONMOBIL PIPELINE CO","SILVERTIP TO BILLINGS 12 INCH CRUDE OIL PIPELINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","LAUREL","YELLOWSTONE","MT",45.655486,-108.75724,"NATURAL FORCE DAMAGE","HEAVY RAINS/FLOODS",1509,0,0,1509,"NO","NO","YES","7/1/2011 22:48","9/24/2011 7:00",40,0,5e+06,150000,7500000,1e+08,0,22350000,135000000
"441",525,20110255,17879,2011,"7/4/2011 2:00 PM",31684,"CONOCOPHILLIPS","CARSON RELIEF LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","WICHITA FALLS","WICHITA","TX",33.936514,-98.496967,"CORROSION","INTERNAL",29.4,0,16,13.4,"NO","NO","YES","7/4/2011 14:00","7/6/2011 12:45",0,0,10000,3000,0,40000,5000,0,58000
"442",526,20110257,17356,2011,"7/4/2011 5:40 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","WOLSEY TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","WOLSEY","BEADLE","SD",44.37956,-98.462467,"CORROSION","INTERNAL",0.48,0,0.48,0,"NO","NO","YES","7/4/2011 17:45","7/6/2011 12:00",0,0,4000,70,0,0,2500,0,6570
"444",528,20110272,16354,2011,"7/6/2011 3:31 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","#4-12 BARNSDALL TO KANSAS CITY LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PARKER","LINN","KS",38.28588,-95.00712,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",10,0,0,10,"NO","NO","YES","7/6/2011 15:41","7/7/2011 14:54",0,0,71000,750,0,13000,245000,0,329750
"445",529,20110274,18548,2011,"7/9/2011 9:15 AM",31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","CUSHING TERMINAL ","ONSHORE","UNDERGROUND","CRUDE OIL","","","CUSHING","PAYNE","OK",35.95885,-96.75655,"CORROSION","INTERNAL",0.6,0,0.6,0,"NO","NO","NO","","",0,0,0,50,0,0,5000,0,5050
"447",531,20110408,18367,2011,"7/12/2011 7:45 PM",12628,"EXXONMOBIL PIPELINE CO","PATOKA TANK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","PATOKA","MARION","IL",38.78564,-89.08396,"CORROSION","INTERNAL",0.9,0,0.9,0,"NO","NO","","","",0,0,107000,60,0,40000,21000,21000,189060
"449",533,20110286,15987,2011,"7/13/2011 3:00 PM",12624,"MOBIL CORP","DAISETTA STATION","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPANE","DAISETTA","LIBERTY","TX",30.11472,-94.64583,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.38,0,0,0.38,"NO","NO","NO","","",0,0,20000,100,0,0,0,0,20100
"450",534,20120010,20806,2011,"7/16/2011 7:40 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","AMMONIA SYSTEM WEST LEG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","TEKAMAH","BURT","NE",41.86305,-96.137915,"NATURAL FORCE DAMAGE","HEAVY RAINS/FLOODS",100,0,0,100,"NO","NO","YES","7/16/2011 17:00","10/6/2011 12:00",0,0,930000,6500,0,20000,0,0,956500
"454",538,20110295,15996,2011,"7/18/2011 8:20 PM",26086,"SEADRIFT PIPELINE CORP","SAEDRIFT PIPELINE CORPORATION","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","ROBSTOWN","NUECES","TX",27.72222,-97.76397,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",1967,0,0,1967,"NO","NO","YES","7/18/2011 20:32","7/21/2011 13:15",0,0,125000,62178,0,1500,0,0,188678
"455",539,20110292,18663,2011,"7/19/2011 11:00 AM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","CUSHING TRAPS TO BLAIR STATION","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","ONAWA","MONONA","IA",42.053138,-96.043891,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.27,0,0.27,0,"NO","NO","NO","","",0,0,2000,20,500,1500,700,0,4720
"457",541,20110283,18064,2011,"7/22/2011 12:30 PM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","","","TX",29.43573,-95.121835,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",1.19,0,1.19,0,"NO","NO","NO","","",0,0,2000,150,0,0,28000,0,30150
"459",543,20110303,16586,2011,"7/22/2011 8:45 PM",2190,"CENTRAL FLORIDA PIPELINE CORP","CFF","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","MANGO","HILLSBOROUGH","FL",27.97348,-82.32001,"EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",803,0,176,627,"NO","NO","NO","","",0,0,167450,82340,0,0,4491597,0,4741387
"460",544,20110300,16545,2011,"7/23/2011 8:15 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","EL DORADO TO CUSHING 8"" CRUDE LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","EL DORADO","BUTLER","KS",37.78947,-96.90093,"CORROSION","EXTERNAL",35,0,35,0,"NO","NO","","","",0,0,35000,2175,0,30000,75000,0,142175
"461",545,20110304,17666,2011,"7/24/2011 8:18 PM",300,"PLAINS PIPELINE, L.P.","MCCAMEY TANK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","MCCAMEY","UPTON","TX",31.13193,-102.1906,"CORROSION","INTERNAL",123,0,123,0,"NO","NO","YES","7/24/2011 20:19","7/25/2011 9:00",0,0,9514,12300,0,7992,20110,0,49916
"465",549,20110299,18671,2011,"7/27/2011 10:25 AM",31684,"CONOCOPHILLIPS","","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","","","OK",36.029589,-97.747511,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",0.24,0,0,0.24,"NO","NO","YES","7/27/2011 10:41","7/27/2011 18:47",0,0,35000,0,0,0,0,0,35000
"467",552,20110319,18977,2011,"8/1/2011 9:15 AM",31325,"PACIFIC PIPELINE SYSTEM LLC","LINE 63 SOUTH","ONSHORE","UNDERGROUND","CRUDE OIL","","","CARSON","LOS ANGELES","CA",33.846624,-118.252704,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1,0,1,0,"NO","NO","NO","","",0,0,160000,0,0,50000,40000,0,250000
"468",553,20110321,18358,2011,"8/1/2011 9:30 AM",30658,"KERN OIL & REFINING CO.","805","ONSHORE","UNDERGROUND","CRUDE OIL","","","BAKERSFIELD","KERN","CA",35.296047,-119.160719,"CORROSION","EXTERNAL",2,0,1.5,0.5,"NO","NO","YES","8/1/2011 10:00","8/1/2011 18:00",0,0,7000,250,0,5000,0,0,12250
"469",554,20110324,17260,2011,"8/6/2011 4:50 PM",30005,"MOBIL PACIFIC PIPELINE CO","JOUGHLIN GATHERING LINE ( G131)-  TO THUMBS","ONSHORE","UNDERGROUND","CRUDE OIL","","","TORRANCE","LOS ANGELES","CA",33.81583,-118.29701,"CORROSION","INTERNAL",35,0,35,0,"NO","NO","","","",0,0,35128,3066,1465,65227,91754,0,196640
"470",555,20110323,16896,2011,"8/7/2011 6:54 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","ORION NORTH","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","HENRIETTA","CLAY","TX",33.83799,-98.27639,"CORROSION","EXTERNAL",131,0,131,0,"NO","NO","NO","","",0,0,20000,16150,20400,1e+05,320000,0,476550
"471",556,20110329,16168,2011,"8/8/2011 11:27 AM",32109,"ONEOK NGL PIPELINE LP","ONEOK NORTH SYSTEM  PIPELINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NATURAL GASOLINE","LEMONT","COOK","IL",41.645101,-88.027889,"OTHER OUTSIDE FORCE DAMAGE","ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY",3.26,0,0,3.26,"YES","NO","YES","8/8/2011 11:27","8/12/2011 9:00",0,0,350000,277,1000,40000,20000,0,411277
"474",559,20110317,18399,2011,"8/10/2011 8:00 AM",2552,"COLONIAL PIPELINE CO","COLONIAL PAULDING PUMP STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","IOUIN","JASPER","MS",32.02821,-89.10162,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",8.54,0,8.54,0,"NO","NO","YES","8/10/2011 11:10","8/11/2011 12:51",0,0,111000,994,0,16000,0,0,127994
"475",560,20110305,16124,2011,"8/11/2011 11:20 AM",31684,"CONOCOPHILLIPS","PURISMA LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","ORCUTT","SANTA BARBARA","CA",34.83433167,-120.45062247,"CORROSION","INTERNAL",0.7,0,0,0.7,"NO","NO","YES","8/11/2011 11:20","8/12/2011 20:00",0,0,5000,70,0,15000,10000,0,30070
"478",563,20110334,16041,2011,"8/12/2011 4:10 AM",12624,"MOBIL CORP","SUN NEIDERLAND TERMINAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","REFINERY GRADE PROPYLENE (RGP)","NEIDERLAND","JEFFERSON","TX",28.804167,-96.793611,"CORROSION","INTERNAL",1,0,0,1,"NO","NO","","","",0,0,15000,240,0,5000,25000,0,45240
"479",564,20110337,16453,2011,"8/12/2011 9:15 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","TEXAS CITY TANK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","TEXAS CITY","GALVESTON","TX",29.206868,-94.561023,"CORROSION","INTERNAL",5,0,2,3,"NO","NO","NO","","",0,0,25000,400,0,0,15000,0,40400
"480",565,20110331,18638,2011,"8/12/2011 12:20 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","ORION SYSTEM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","HENRIETTA","CLAY","TX",33.83299,-98.27806,"CORROSION","EXTERNAL",928.5,0,928.5,0,"NO","NO","NO","","",0,0,40000,12350,9400,1e+05,770000,0,931750
"481",566,20110335,18081,2011,"8/13/2011 1:57 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","WEST LEG LOOP RED LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","OTHER","NATURAL GASOLINE","ONAWA","MONONA","IA",42.00461,-96.23684,"NATURAL FORCE DAMAGE","HEAVY RAINS/FLOODS",675,0,0,675,"NO","NO","YES","8/13/2011 2:19","10/22/2011 10:02",0,0,7368470,80595,0,135000,85000,0,7669065
"483",568,20110339,18544,2011,"8/17/2011 9:40 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","SUPERIOR TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.68889,-92.05972,"NATURAL FORCE DAMAGE","TEMPERATURE",0.95,0,0.95,0,"NO","NO","NO","","",0,0,1300,0,0,25000,55000,0,81300
"484",569,20110310,19006,2011,"8/17/2011 12:03 PM",32103,"CRIMSON PIPELINE L.P.","IDLE HOLE LEASE LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","FULLERTON","ORANGE","CA",33.91765556,-117.9154528,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",2,0,0,2,"NO","NO","NO","","",0,0,1500,300,1000,20000,25000,2000,49800
"487",572,20110461,19254,2011,"8/19/2011 9:44 AM",4906,"EXXONMOBIL PIPELINE CO","RACELAND ANCHORAGE SYSTEM","ONSHORE","UNDERGROUND","CRUDE OIL","","","DONALDSONVILLE","ASSUMPTION","LA",30.055571,-91.062652,"CORROSION","INTERNAL",18.7,0,11.2,7.5,"NO","NO","YES","8/19/2011 9:44","8/20/2011 19:15",0,0,56000,617,0,131000,50000,4000,241617
"489",575,20110347,16546,2011,"8/22/2011 4:30 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","FT. MADISON LATERAL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","FT. MADISON","LEE","IA",40.596305,-91.411283,"MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",0.2,0,0,0.2,"NO","NO","YES","8/22/2011 16:58","8/26/2011 18:00",0,0,30000,13,0,0,0,0,30013
"491",577,20110353,16337,2011,"8/23/2011 7:24 AM",18092,"SFPP, LP","ORWOOD BLOCKVALVE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","BRENTWOOD","CONTRA COSTA","CA",37.944408,-121.558461,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",38,0,24,14,"NO","NO","YES","8/23/2011 7:32","8/23/2011 21:05",0,0,2000,4791,0,15000,388209,0,410000
"493",579,20120142,19442,2011,"8/24/2011 8:00 PM",32223,"VALERO REFINING COMPANY - CALIFORNIA","BNRF DOCK LINE #6","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","BENICIA","SOLANO","CA",38.066978,-122.133742,"CORROSION","EXTERNAL",5,0,5,0,"NO","NO","NO","","",0,0,580000,0,0,0,0,0,580000
"495",581,20110363,16351,2011,"8/27/2011 5:50 AM",31684,"CONOCOPHILLIPS","LINE 200","ONSHORE","UNDERGROUND","CRUDE OIL","","","BYRON","CONTRA COSTA","CA",37.795178,-121.672381,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",56,0,0,56,"NO","NO","YES","8/27/2011 5:58","8/29/2011 17:30",0,0,20000,5040,0,250000,1e+06,0,1275040
"497",583,20110361,17690,2011,"8/29/2011 8:00 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.06704,-96.4719,"CORROSION","INTERNAL",4,0,1,3,"NO","NO","NO","","",0,0,23938,251,0,1600,1809,0,27598
"498",584,20110362,17689,2011,"8/31/2011 7:45 AM",18718,"SUNOCO PIPELINE L.P.","GRISSOM STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","PRICE","RUSK","TX",32.1147,-94.9633,"CORROSION","INTERNAL",2,0,0,2,"NO","NO","YES","8/31/2011 7:45","9/1/2011 16:00",0,0,4075,171,0,5395,1263,0,10904
"502",588,20110392,16133,2011,"9/1/2011 10:30 AM",30834,"TIDELANDS OIL PRODUCTION COMPANY","Z1-2 OIL SHIPPING LINE/Z1-2 LEASE","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONG BEACH","","CA",33.756403,-118.205749,"CORROSION","EXTERNAL",0.48,0,0.48,0,"NO","NO","YES","9/1/2011 10:30","9/8/2011 17:45",0,0,26000,0,0,0,0,0,26000
"503",589,20110352,17898,2011,"9/4/2011 7:10 AM",31684,"CONOCOPHILLIPS","BORGER CRUDE TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","BORGER","HUTCHINSON","TX",35.684911,-101.359211,"CORROSION","INTERNAL",4.7,0,0.6,4.1,"NO","NO","","","",0,0,20000,427,0,8000,8000,0,36427
"504",590,20110371,20614,2011,"9/5/2011 10:45 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","HOBBS TO MIDLANDD","ONSHORE","UNDERGROUND","CRUDE OIL","","","ANDREWS","ANDREWS","TX",32.303575,-102.548583,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",560,0,440,120,"NO","NO","NO","","",0,0,15525,53280,0,24550,46675,0,140030
"505",591,20110380,16653,2011,"9/8/2011 7:50 AM",2731,"CHEVRON PIPE LINE CO","WEST TEXAS LPG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","LATAN","MITCHELL","TX",32.251168,-101.305851,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",12836,405,0,12836,"YES","YES","NO","","",0,0,4e+05,1001020,0,1e+05,0,0,1501020
"510",596,20110381,16394,2011,"9/12/2011 1:45 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","P109","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PORT AUTHUR","JEFFERSON","TX",29.878864,-93.986341,"CORROSION","EXTERNAL",500,0,0,500,"NO","NO","NO","","",0,0,147800,0,0,450000,1984300,0,2582100
"511",597,20110384,16549,2011,"9/13/2011 8:00 AM",31684,"CONOCOPHILLIPS","OK-01, WICHITA FALLS TO PONCA CITY, 12"" CRUDE LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","TEMPLE, OK","COTTON","OK",34.133131,-98.262922,"ALL OTHER CAUSES","UNKNOWN",1.7,0,0.9,0.8,"NO","NO","","","",0,0,2e+06,146,5000,120000,1218050,0,3343196
"512",598,20110383,19859,2011,"9/14/2011 12:30 PM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PASADENA","HARRIS","TX",29.43573,-95.121835,"CORROSION","EXTERNAL",0.24,0,0,0.24,"NO","NO","YES","9/14/2011 12:30","11/14/2011 9:00",0,0,150000,4,0,0,0,0,150004
"513",599,20110374,16098,2011,"9/15/2011 10:24 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","SEMINOLE BLUE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","BLEIBLERVILLE","AUSTIN","TX",30.034033,-96.435533,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.35,0,0,0.35,"NO","NO","YES","9/15/2011 11:00","9/18/2011 4:00",10,0,125664,4950,0,31650,0,0,162264
"516",602,20110388,17958,2011,"9/20/2011 6:44 AM",32147,"MARATHON PIPE LINE LLC","CHATHAM-BASIN 8"" CRUDE","ONSHORE","UNDERGROUND","CRUDE OIL","","","WORLAND","WASHAKIE","WY",43.860695,-108.163483,"CORROSION","INTERNAL",96,0,96,0,"NO","NO","YES","9/20/2011 6:50","9/20/2011 17:15",0,0,50,1000,0,34650,3450,0,39150
"517",603,20110390,17293,2011,"9/20/2011 6:50 AM",1845,"BUCKEYE PARTNERS, LP","AUBURN STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","AUBURN","CAYUGA","NY",42.957763,-76.527127,"CORROSION","INTERNAL",23,0,22,1,"NO","NO","YES","9/20/2011 6:50","9/23/2011 11:33",0,0,0,0,0,84345,75840,0,160185
"518",604,20110391,17294,2011,"9/20/2011 10:22 AM",1845,"BUCKEYE PARTNERS, LP","AUBURN TO WATERLOO","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","AUBURN","CAYUGA","NY",42.959503,-76.665351,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",595,0,271,324,"NO","NO","NO","","",60,0,82070,0,0,497010,2818697,0,3397777
"521",607,20110379,16457,2011,"9/23/2011 2:30 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","C18","ONSHORE","UNDERGROUND","CRUDE OIL","","","OLNEY","ARCHER","TX",33.4166975,-98.74844135,"CORROSION","EXTERNAL",0.5,0,0,0.5,"NO","NO","","","",0,0,12500,80,0,0,15575,0,28155
"526",612,20110399,16143,2011,"9/28/2011 12:03 AM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","IA/SD STATE LINE - SIOUX FALLS","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","SIOUX FALLS","LINCOLN","SD",43.475465,-96.726088,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",2.62,0,2.62,0,"NO","NO","YES","9/28/2011 0:03","9/29/2011 17:00",0,0,20000,357,0,0,17250,0,37607
"528",614,20110386,16700,2011,"10/3/2011 11:15 AM",31684,"CONOCOPHILLIPS","MX-30 LOOP LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MIDKIFF","UPTON","TX",31.362222,-101.7825,"CORROSION","EXTERNAL",10,0,0,10,"NO","NO","YES","10/3/2011 11:30","11/11/2011 14:00",0,0,10000,2500,0,5000,0,0,17500
"529",617,20110406,17687,2011,"10/4/2011 3:05 PM",18718,"SUNOCO PIPELINE L.P.","SOUR LAKE STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","SOUR LAKE","HARDIN","TX",30.14105,-94.39892,"CORROSION","INTERNAL",0.5,0,0,0.5,"NO","NO","NO","","",0,0,1684,36,0,1588,0,0,3308
"531",619,20110412,17121,2011,"10/6/2011 11:42 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","#6-10"" TOPEKA TO KANSAS CITY LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LAWRENCE","DOUGLAS","KS",38.98759,-95.32997,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",590,0,300,290,"NO","NO","YES","10/6/2011 11:46","10/7/2011 15:12",0,0,35000,62300,0,50000,520541,0,667841
"534",622,20110396,18141,2011,"10/7/2011 7:40 AM",9175,"JAYHAWK PIPELINE LLC","HOOKER STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","HOOKER","TEXAS","OK",36.8053,-101.2876,"CORROSION","INTERNAL",17,0,14,3,"NO","NO","NO","","",0,0,2500,80,0,2500,1000,0,6080
"535",623,20110410,20433,2011,"10/7/2011 9:32 AM",31888,"CENTURION PIPELINE L.P.","CENTURION PIPELINE / #2 - 16""","ONSHORE","UNDERGROUND","CRUDE OIL","","","EDMOND","OKLAHOMA","OK",35.7042,-97.4636,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",3299,0,2309,990,"NO","NO","YES","10/7/2011 9:50","10/8/2011 15:02",0,0,919,104140,11000,403295,66217,180979,766550
"538",626,20110417,17586,2011,"10/12/2011 7:45 AM",22442,"WEST TEXAS GULF PIPELINE CO","WTG-LONGVIEW STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.4819,-94.8351,"CORROSION","INTERNAL",1,0,0,1,"NO","NO","YES","10/12/2011 7:45","10/12/2011 16:20",0,0,2095,82,0,1598,745,0,4520
"547",635,20110428,16210,2011,"10/19/2011 2:18 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","SOUTH LEG RED LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","Y-GRADE","CLAUDE","ARMSTRONG","TX",35.02529,-101.51128,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.35,0,0,0.35,"NO","NO","","","",0,0,17500,20,0,0,7550,0,25070
"548",637,20110424,19391,2011,"10/23/2011 7:30 AM",32613,"OILTANKING PORT NECHES, LLC","#3-30""","ONSHORE","UNDERGROUND","CRUDE OIL","","","PORT NECHES","JEFFERSON","TX",29.970953,-93.938061,"CORROSION","EXTERNAL",4,0,0,4,"NO","NO","NO","","",0,0,5000,400,0,0,1000,0,6400
"549",638,20110426,17498,2011,"10/24/2011 12:55 PM",31174,"SHELL PIPELINE CO., L.P.","OLIG PUMP STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","MCKITTRICK","KERN","CA",35.3275,-119.6575,"CORROSION","EXTERNAL",3,0,3,0,"NO","NO","YES","10/24/2011 13:13","10/25/2011 18:07",0,0,2500,150,0,2500,500,0,5650
"554",645,20110438,16440,2011,"11/7/2011 2:01 PM",32258,"KINDER MORGAN COCHIN LLC","KINDER MORGAN COCHIN, LLC","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","DEER GROVE","WHITESIDE","IL",41.60720541,-89.7349367,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",5648,0,0,5648,"NO","NO","NO","","",25,0,155534,322105,0,2000,0,0,479639
"555",646,20110436,16353,2011,"11/7/2011 6:30 PM",31684,"CONOCOPHILLIPS","LINE 200","ONSHORE","UNDERGROUND","CRUDE OIL","","","CONCORD","CONTRA COSTA","CA",37.963297,-121.948261,"CORROSION","EXTERNAL",45,0,0,45,"NO","NO","YES","11/7/2011 18:30","11/10/2011 17:00",0,0,85000,4410,0,1e+06,750000,0,1839410
