"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Operator.Contractor.Injuries","Emergency.Responder.Injuries","Other.Injuries","Public.Injuries","All.Injuries","Operator.Employee.Fatalities","Operator.Contractor.Fatalities","Emergency.Responder.Fatalities","Other.Fatalities","Public.Fatalities","All.Fatalities","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"2127",20150242,21000,2015,"6/6/2015 2:40 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","EAST HOUSTON TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HOUSTON","HARRIS","TX",29.79477,-95.2821,"CORROSION","INTERNAL",0.47,NA,0.47,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,50,0,8000,0,0,8075
"2137",20150254,21073,2015,"6/15/2015 11:01 PM",1845,"BUCKEYE PARTNERS, LP","AUBURN STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","AUBURN","ONONGADA","NY",42.957732,-76.527389,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",5.7,NA,5.7,0,"NO","NO","YES","6/15/2015 23:01","6/16/2015 5:45",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,500,0,1000,1500,0,5000
"2142",20150264,21431,2015,"6/18/2015 8:09 AM",31454,"NUSTAR LOGISTICS, L.P.","40P HOUSTON LPG PIPELINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","","MATAGORDA","TX",29.1425929,-95.9728079,"CORROSION","EXTERNAL",315,0,0,315,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271645,6383,0,153556,0,7392,438976
"2143",20160157,21391,2015,"6/19/2015 8:00 AM",32537,"WYOMING PIPELINE COMPANY","WYOMING PIPELINE CO.","ONSHORE","UNDERGROUND","CRUDE OIL","","","","WESTON","WY",43.50343,-104.15236,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2,NA,0,2,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,100,0,6000,4000,0,11300
"2147",20160131,21387,2015,"6/23/2015 4:00 AM",32537,"WYOMING PIPELINE COMPANY","THUNDER CREEK STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","WESTON","WY",43.666603,-105.067905,"MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",1,NA,0,1,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,0,0,0,300,330
"2151",20150265,20610,2015,"6/25/2015 3:00 PM",32109,"ONEOK NGL PIPELINE, LLC","ONEOK CAPITOL PUMP STATION (SITE #555)","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","","CARTER","MT",45.238011,-104.199821,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",6,3.4,0,6,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,140,0,100,0,0,240
"2156",20150273,21138,2015,"7/2/2015 10:56 AM",31476,"ROSE ROCK MIDSTREAM L.P.","CUNNINGHAM TO ARLINGTON JCT. 12""","ONSHORE","UNDERGROUND","CRUDE OIL","","","","KINGMAN","KS",37.68779,-98.40713,"CORROSION","INTERNAL",0.5,NA,0.5,0,"NO","NO","YES","7/2/2015 11:35","7/3/2015 11:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,20,0,2500,2000,0,12520
"2159",20150268,20719,2015,"7/7/2015 7:30 AM",31174,"SHELL PIPELINE CO., L.P.","BENGAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BATON ROUGE","EAST BATON ROUGE","LA",30.47386943,-91.04321944,"INCORRECT OPERATION","INCORRECT VALVE POSITION",1,NA,1,0,"NO","NO","YES","7/7/2015 7:33","7/7/2015 13:15",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,0,0,35000,5000,0,100000
"2176",20150283,20660,2015,"7/20/2015 12:30 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","VALERO NORTH FORTY","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPANE/PROPYLENE MIX","NORCO","ST. CHARLES","LA",29.9944083,-90.386475,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.6,0,0,0.6,"NO","NO","YES","7/20/2015 0:30","7/20/2015 9:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,0,0,0,0,120
"2187",20150305,20694,2015,"7/27/2015 7:45 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 2","ONSHORE","UNDERGROUND","CRUDE OIL","","","WARBA","ITASCA","MN",47.1375,-93.30972,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.01,NA,0.01,0,"NO","NO","YES","7/27/2015 7:50","7/30/2015 0:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92682,0,0,972,0,0,93654
"2195",20150298,20684,2015,"7/31/2015 12:30 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","C13","ONSHORE","ABOVEGROUND","CRUDE OIL","","","ANDREWS","ANDREWS","TX",32.3006,-102.54292,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",1.5,NA,1.5,0,"NO","NO","YES","7/31/2015 12:30","7/31/2015 13:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2550,50,0,0,0,0,2600
"2196",20150300,21115,2015,"8/1/2015 11:00 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","MANY PUMP STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","OTHER","NATURAL GASOLINE","MANY","SABINE","LA",31.504092,-93.416858,"INCORRECT OPERATION","INCORRECT INSTALLATION",4,NA,4,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25300,180,0,0,26000,0,51480
"2199",20150314,21315,2015,"8/4/2015 5:10 AM",2552,"COLONIAL PIPELINE CO","CPC / KROTZ SPRINGS STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","KROTZ SPRINGS","ST LANDRY","LA",30.528648,-91.746802,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.3,NA,3.3,0,"NO","NO","YES","8/4/2015 9:13","8/4/2015 15:15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,225,0,8550,2500,0,12775
"2200",20150311,21599,2015,"8/4/2015 7:45 AM",39023,"DOUBLE EAGLE PIPELINE LLC","GARDENDALE ","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","OTHER","CONDENSATE","COTULLA ","LA SALLE","TX",28.510104,-99.223506,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",138.3,NA,110,28.3,"NO","NO","YES","8/4/2015 6:06","8/6/2015 15:56",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,6326,0,120000,337940,0,480266
"2203",20160099,21288,2015,"8/6/2015 11:00 AM",32537,"WYOMING PIPELINE COMPANY","WYOMING PIPELINE COMPANY","ONSHORE","UNDERGROUND","CRUDE OIL","","","","WESTON","WY",43.9567944,-104.6031611,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",35,NA,33,2,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1155,3000,5000,310000,0,321155
"2207",20150324,20734,2015,"8/11/2015 10:15 AM",30003,"HOUSTON REFINING LP.","20"" CRUDE SYSTEM","ONSHORE","TANK","CRUDE OIL","","","HOUSTON","HARRIS","TX",29.422303,-95.140306,"ALL OTHER CAUSES","MISCELLANEOUS",0.12,NA,0.12,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"2209",20150319,20799,2015,"8/11/2015 5:28 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC"," P89 - BUTANE MAINLINE","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","BUTANE","PORT ARTHUR","JEFFERSON","TX",29.952028,-93.887943,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.6,25,0,0.6,"NO","NO","YES","8/11/2015 17:31","8/11/2015 21:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25539,559,0,0,0,0,26098
"2212",20150327,20739,2015,"8/15/2015 10:23 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","SUPERIOR TERMINAL TANK 15","ONSHORE","UNDERGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.6869,-92.0645,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.71,NA,0.71,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12046,31,0,810,15250,0,28137
"2214",20150328,20740,2015,"8/18/2015 9:45 AM",31454,"NUSTAR LOGISTICS, L.P.","55P PETTUS SOUTH PIPELINE","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","BEE","TX",28.58189,-97.78703,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",0.21,NA,0.21,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,8,0,0,0,0,441
"2218",20150332,20747,2015,"8/20/2015 4:52 AM",32502,"ENBRIDGE PIPELINES (SOUTHERN LIGHTS) L.L.C.","MANHATTAN TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","OTHER","DILUENT","MANHATTAN","WILL","IL",41.40817,-87.99195,"INCORRECT OPERATION","INCORRECT VALVE POSITION",0.24,NA,0.24,0,"NO","NO","YES","8/20/2015 5:18","8/20/2015 8:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1324,0,0,252,0,0,1576
"2223",20150302,21464,2015,"8/24/2015 3:15 PM",32537,"WYOMING PIPELINE COMPANY","WYOMING PIPELINE COMPANY","ONSHORE","TRANSITION AREA","CRUDE OIL","","","NEWCASTLE","WY","WY",43.635,-104.31806,"CORROSION","INTERNAL",2,NA,1,1,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,0,390,0,720,1150
"2228",20150343,21948,2015,"8/25/2015 1:00 PM",32109,"ONEOK NGL PIPELINE, LLC","ONEOK WEST WINFREE STATION","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ETHANE","MT. BELVIEU","CHAMBERS","TX",29.845934,-94.908022,"INCORRECT OPERATION","INCORRECT INSTALLATION",26,0,0,26,"NO","NO","YES","8/25/2015 13:06","8/25/2015 14:19",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,215,0,500,0,0,815
"2229",20150336,21056,2015,"8/27/2015 5:30 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","HSC","ONSHORE","UNDERGROUND","CRUDE OIL","","","HOUSTON","HARRIS","TX",29.747453,-95.127678,"CORROSION","INTERNAL",5,NA,3.5,1.5,"NO","NO","YES","8/27/2015 17:30","9/5/2015 21:35",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363545,1600,0,0,0,0,365145
"2235",20150340,21617,2015,"9/1/2015 8:45 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","JONES CREEK STATION","ONSHORE","TANK","CRUDE OIL","","","JONES CREEK","BRAZORIA","TX",28.950662,-95.431357,"NATURAL FORCE DAMAGE","LIGHTNING",0.01,NA,0.01,0,"YES","NO","YES","9/1/2015 8:45","7/21/2016 17:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,450,0,278708,0,0,529158
"2238",20150342,21003,2015,"9/2/2015 8:39 AM",32147,"MARATHON PIPE LINE LLC","WEST POINT STATION ","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LISBON","COLUMBIANA ","OH",40.708665,-80.693831,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.2,NA,0.2,0,"NO","NO","YES","9/2/2015 8:41","9/2/2015 15:21",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,13,0,3000,0,0,3113
"2247",20150361,21565,2015,"9/10/2015 12:27 AM",39085,"RIMROCK MIDSTREAM","FLINT HILLS PIPELINE SYSTEM","ONSHORE","TANK","CRUDE OIL","","","","GREENWOOD","KS",37.80348,-96.5137,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",100,NA,97,3,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,135,0,26399,8000,302,35336
"2249",20150359,20813,2015,"9/11/2015 9:15 AM",300,"PLAINS PIPELINE, L.P.","MIDLAND (IRAAN) TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","MIDLAND","MIDLAND","TX",32.0126,-102.02798,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2,NA,2,0,"NO","NO","YES","9/11/2015 9:15","9/14/2015 13:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6900,100,0,1600,0,0,8600
"2261",20150368,20832,2015,"9/22/2015 5:10 PM",18718,"SUNOCO PIPELINE L.P.","EASTLAND STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","RANGER","EASTLAND","TX",32.49804,-98.63654,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2,NA,0,2,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,85,0,2000,500,0,3585
"2264",20150375,21167,2015,"9/24/2015 9:45 AM",300,"PLAINS PIPELINE, L.P.","CRANE EAST","ONSHORE","UNDERGROUND","CRUDE OIL","","","CRANE","CRANE","TX",31.42565,-102.32753,"CORROSION","INTERNAL",3,NA,3,0,"NO","NO","YES","9/24/2015 9:50","9/24/2015 13:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28000,150,0,1100,0,0,29250
"2268",20150396,20889,2015,"9/26/2015 1:15 PM",31174,"SHELL PIPELINE CO., L.P.","","OFFSHORE","","CRUDE OIL","","","","","",27.9469444,-90.9969444,"CORROSION","EXTERNAL",0.39,NA,0,0.39,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,20,0,0,0,0,1020
"2269",20150377,20846,2015,"9/27/2015 11:02 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","FRONT RANGE","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","Y-GRADE","BOISE CITY","CIMARRON COUNTY","OK",36.735435,-102.460064,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",20,0,0,20,"NO","NO","YES","9/27/2015 21:29","9/29/2015 7:19",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1500,0,0,0,0,1600
"2270",20150372,20839,2015,"9/28/2015 9:10 AM",31684,"PHILLIPS 66 PIPELINE LLC","GRAVITY LINE","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","KERN","CA",35.10335,-119.45596,"OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",16.5,NA,16.5,0,"NO","NO","YES","9/28/2015 9:15","9/28/2015 17:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,800,0,2500,5000,0,10300
"2271",20160100,21289,2015,"9/28/2015 10:30 AM",32537,"WYOMING PIPELINE COMPANY","WYOMING PIPELINE COMAPNY","ONSHORE","ABOVEGROUND","CRUDE OIL","","","","WESTON","WY",43.842033,-104.25655,"CORROSION","EXTERNAL",1,NA,0.5,0.5,"NO","NO","YES","9/28/2015 11:00","9/28/2015 16:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,20,20000,15000,5000,0,70020
"2275",20150383,21983,2015,"10/2/2015 6:08 PM",300,"PLAINS PIPELINE, L.P.","COLORADO CITY MESA","ONSHORE","ABOVEGROUND","CRUDE OIL","","","COLORADO CITY","SCURRY","TX",32.53198,-100.83048,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",4,NA,4,0,"NO","NO","YES","10/2/2015 18:08","10/3/2015 14:28",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8407,200,0,3000,0,0,11607
"2283",20150393,20879,2015,"10/9/2015 7:25 AM",300,"PLAINS PIPELINE, L.P.","EUCUTTA STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HEIDELBERG","WAYNE","MS",31.8198,-88.9038,"CORROSION","INTERNAL",4,NA,4,0,"NO","NO","YES","10/9/2015 7:25","10/9/2015 12:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2359,0,0,2359
"2296",20150400,20898,2015,"10/16/2015 12:00 PM",31580,"MAGELLAN TERMINALS HOLDINGS, LP","GALENA PARK TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","GALENA PARK","HARRIS","TX",29.7525,-95.20551,"CORROSION","INTERNAL",1,NA,1,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000,88,0,4500,500,0,32088
"2300",20150416,20919,2015,"10/20/2015 7:30 AM",4906,"EXXONMOBIL PIPELINE CO","BAYTOWN PRODUCTS 3 PUMP STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","BAYTOWN","HARRIS","TX",29.73667,-95.02522,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.89,NA,0.89,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,75,0,5000,20000,0,25575
"2303",20150410,21058,2015,"10/22/2015 6:05 AM",30829,"ENTERPRISE CRUDE PIPELINE LLC","TX CITY TK FARM","ONSHORE","UNDERGROUND","CRUDE OIL","","","TEXAS CITY","GALVESTION","TX",29.345095,-94.935211,"CORROSION","INTERNAL",100,NA,100,0,"NO","NO","YES","10/22/2015 6:05","10/23/2015 14:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351261,3000,0,0,0,0,354261
"2304",20150395,21135,2015,"10/22/2015 10:26 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","MESA FAIN LATERAL","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MASTERSON","POTTER","TX",35.539578,-101.896958,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.5,0,0,0.5,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,50,0,0,0,0,70
"2310",20150409,20912,2015,"10/26/2015 12:10 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","JONES CREEK STATION","ONSHORE","TANK","CRUDE OIL","","","JONES CREEK","BRAZORIA","TX",28.951204,-95.433627,"ALL OTHER CAUSES","MISCELLANEOUS",0.5,NA,0.5,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,0,0,0,0,0,16200
"2313",20150408,20986,2015,"10/27/2015 4:00 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","MIDLAND STATION","ONSHORE","TANK","CRUDE OIL","","","MIDLAND","MIDLAND","TX",32.021211,-102.012516,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",45,NA,45,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14251,1600,0,0,0,0,15851
"2319",20150431,21269,2015,"10/30/2015 10:24 AM",32537,"WYOMING PIPELINE COMPANY","WPC - CLARETON STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","","WESTON COUNTY, WYOMING","WY",43.72077,-104.659061,"CORROSION","EXTERNAL",4,NA,0,4,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,160,0,600,0,0,760
"2329",20150413,21196,2015,"11/3/2015 11:54 PM",18092,"SFPP, LP","PORTLAND STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PORTLAND","MULTNOMAH","OR",45.569231,-122.7542888,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",2.4,NA,2.4,0,"NO","NO","YES","11/3/2015 23:54","11/5/2015 3:40",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5300,204,0,10000,4000,0,19504
"2333",20150459,21139,2015,"11/5/2015 5:15 PM",30829,"ENTERPRISE CRUDE PIPELINE LLC","JONES CREEK STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","JONES CREEK","BRAZORIA","TX",28.948749,-95.432151,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.01,NA,0.01,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196960,0,0,0,0,0,196960
"2334",20150438,21060,2015,"11/5/2015 5:52 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","ENID-PONCA CITY #1-6"" CRUDE LINE","ONSHORE","UNDERGROUND","CRUDE OIL","","","BILLINGS","NOBLE","OK",36.54928,-97.33609,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",632,NA,581,51,"NO","NO","YES","11/5/2015 17:52","11/7/2015 16:05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55750,2122,0,408753,0,0,466625
"2335",20150445,21465,2015,"11/5/2015 6:00 PM",32109,"ONEOK NGL PIPELINE, LLC","ARBUCKLE PIPELINE - ENTERPRISE-TARGA DELIVERY","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","MT. BELVIEU","CHAMBERS","TX",29.86,-94.9017,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",0.1,0,0,0.1,"YES","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,2,0,250,0,0,1002
"2344",20150453,20973,2015,"11/11/2015 9:00 AM",18718,"SUNOCO PIPELINE L.P.","TYE STATION","ONSHORE","TANK","CRUDE OIL","","","TYE","TAYLOR","TX",32.412292,-99.875123,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",30,NA,25,5,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,200,0,2000,2000,0,6200
"2346",20150449,20968,2015,"11/11/2015 9:30 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","PINE BEND PUMP STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","","DAKOTA","MN",44.77085,-93.04889,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.2,NA,0.2,0,"NO","NO","YES","11/11/2015 21:30","11/12/2015 2:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,15,0,5000,0,0,8015
"2347",20150452,21434,2015,"11/12/2015 1:45 PM",39286,"ENERGY XXI USA, INC","ENERGY XXI USA, INC.","ONSHORE","TANK","CRUDE OIL","","","GRAND ISLE","JEFFERSON","LA",29.1514,-89.5806,"INCORRECT OPERATION","INCORRECT VALVE POSITION",5,NA,5,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10000,0,0,10000
"2348",20150447,20965,2015,"11/14/2015 7:45 AM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","BEAUMONT MARINE WEST EXPORT METER SKID","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BEAUMONT","JEFFERSON","TX",30.030029,-94.041199,"INCORRECT OPERATION","INCORRECT INSTALLATION",1.4,NA,0.7,0.7,"NO","NO","YES","11/14/2015 7:45","11/14/2015 14:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,77,0,0,3000,0,3077
"2351",20150458,20980,2015,"11/17/2015 5:10 PM",31580,"MAGELLAN TERMINALS HOLDINGS, LP","GALENA PARK TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","GALENA PARK","HARRIS","TX",29.75079,-95.20356,"INCORRECT OPERATION","OTHER INCORRECT OPERATION",53.47,NA,53,0.47,"NO","NO","YES","11/17/2015 17:10","11/19/2015 19:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,4452,0,40000,0,0,52952
